locale,key,fr_value,current_value,draft_value
az,action_check_config_details,"Contrôlez les paramètres SMTP dans le fichier .env","Contrôlez les paramètres SMTP dans le fichier .env [MT]","Contrôlez les paramètres SMTP dans le fichier .env [MT]"
az,action_regenerate_password,"Régénérer le mot de passe","Régénérer le mot de passe [MT]","Régénérer le mot de passe [MT]"
az,action_regenerate_password_details,"Si nécessaire, créez un nouveau mot de passe d'application.","Si nécessaire, créez un nouveau mot de passe d'application. [MT]","Si nécessaire, créez un nouveau mot de passe d'application. [MT]"
az,system_information,"Informations système","Informations système [MT]","Informations système [MT]"
az,label_smtp_server,"Serveur SMTP","Serveur SMTP [MT]","Serveur SMTP [MT]"
az,label_port,Port,"Port [MT]","Port [MT]"
az,label_account,Compte,"Compte [MT]","Compte [MT]"
az,label_environment,Environnement,"Environnement [MT]","Environnement [MT]"
az,alert_auto_generated_notice,"Cette alerte est automatique. L'application continue de fonctionner normalement, mais les emails ne sont pas envoyés.","Cette alerte est automatique. L'application continue de fonctionner normalement, mais les emails ne sont pas envoyés. [MT]","Cette alerte est automatique. L'application continue de fonctionner normalement, mais les emails ne sont pas envoyés. [MT]"
az,account_management_system,"Système de gestion des comptes","Système de gestion des comptes [MT]","Système de gestion des comptes [MT]"
az,alert_generated_by_safemail,"Cette alerte a été générée automatiquement par le système SafeMailService","Cette alerte a été générée automatiquement par le système SafeMailService [MT]","Cette alerte a été générée automatiquement par le système SafeMailService [MT]"
az,contact_technical_team,"Pour toute question, contactez votre équipe technique","Pour toute question, contactez votre équipe technique [MT]","Pour toute question, contactez votre équipe technique [MT]"
az,password_reset_title,"Réinitialisation de mot de passe - TRANSFERFLUX","Réinitialisation de mot de passe - TRANSFERFLUX [MT]","Réinitialisation de mot de passe - TRANSFERFLUX [MT]"
az,password_reset_heading,"Réinitialisation de mot de passe","Réinitialisation de mot de passe [MT]","Réinitialisation de mot de passe [MT]"
az,greeting_simple_name,"Bonjour :name,","Bonjour :name, [MT]","Bonjour :name, [MT]"
az,password_reset_reason,"Vous recevez cet e-mail car nous avons reçu une demande de réinitialisation de votre mot de passe.","Vous recevez cet e-mail car nous avons reçu une demande de réinitialisation de votre mot de passe. [MT]","Vous recevez cet e-mail car nous avons reçu une demande de réinitialisation de votre mot de passe. [MT]"
az,password_reset_click_link,"Veuillez cliquer sur le lien ci-dessous pour réinitialiser votre mot de passe :","Veuillez cliquer sur le lien ci-dessous pour réinitialiser votre mot de passe : [MT]","Veuillez cliquer sur le lien ci-dessous pour réinitialiser votre mot de passe : [MT]"
az,password_reset_no_action_needed,"Si vous n'avez pas demandé de réinitialisation de mot de passe, aucune autre action n'est requise.","Si vous n'avez pas demandé de réinitialisation de mot de passe, aucune autre action n'est requise. [MT]","Si vous n'avez pas demandé de réinitialisation de mot de passe, aucune autre action n'est requise. [MT]"
az,thank_you_using_brand,"Merci d'utiliser TRANSFERFLUX !","Merci d'utiliser TRANSFERFLUX ! [MT]","Merci d'utiliser TRANSFERFLUX ! [MT]"
az,password_reset_button,"Réinitialiser le mot de passe","Réinitialiser le mot de passe [MT]","Réinitialiser le mot de passe [MT]"
az,account_blocked_message,"Votre compte TRANSFERFLUX a été temporairement bloqué.","Votre compte TRANSFERFLUX a été temporairement bloqué. [MT]","Votre compte TRANSFERFLUX a été temporairement bloqué. [MT]"
az,account_blocked_title,"Compte Bloqué","Compte Bloqué [MT]","Compte Bloqué [MT]"
az,account_blocked_intro,"Votre compte TRANSFERFLUX a été temporairement bloqué.","Votre compte TRANSFERFLUX a été temporairement bloqué. [MT]","Votre compte TRANSFERFLUX a été temporairement bloqué. [MT]"
az,account_blocked_mail_send_failure,"Échec d'envoi d'email détecté","Échec d'envoi d'email détecté [MT]","Échec d'envoi d'email détecté [MT]"
az,account_blocked_actions_title,"Que faire maintenant ?","Que faire maintenant ? [MT]","Que faire maintenant ? [MT]"
az,account_blocked_action_contact,"Contactez notre service client pour plus d'informations","Contactez notre service client pour plus d'informations [MT]","Contactez notre service client pour plus d'informations [MT]"
az,account_blocked_action_check,"Vérifiez votre conformité avec nos conditions d'utilisation","Vérifiez votre conformité avec nos conditions d'utilisation [MT]","Vérifiez votre conformité avec nos conditions d'utilisation [MT]"
az,account_blocked_action_prepare_docs,"Préparez vos documents d'identité si nécessaire","Préparez vos documents d'identité si nécessaire [MT]","Préparez vos documents d'identité si nécessaire [MT]"
az,status_blocked,BLOQUÉ,"BLOQUÉ [MT]","BLOQUÉ [MT]"
be,compte_created_subject,"Ouverture de compte - TRANSFERFLUX","Ouverture de compte - TRANSFERFLUX [MT]","Ouverture de compte - TRANSFERFLUX [MT]"
be,compte_created_title,"Ouverture de compte sur TRANSFERFLUX","Ouverture de compte sur TRANSFERFLUX [MT]","Ouverture de compte sur TRANSFERFLUX [MT]"
be,greeting,"Bonjour :name,","Bonjour :name, [MT]","Bonjour :name, [MT]"
be,compte_created_message,"Nous avons le plaisir de vous informer que votre compte a été créé avec succès et crédité d'un montant de :amount.","Nous avons le plaisir de vous informer que votre compte a été créé avec succès et crédité d'un montant de :amount. [MT]","Nous avons le plaisir de vous informer que votre compte a été créé avec succès et crédité d'un montant de :amount. [MT]"
be,credentials_title,"Vos identifiants sont:","Vos identifiants sont: [MT]","Vos identifiants sont: [MT]"
be,label_email,Email,"Email [MT]","Email [MT]"
be,label_password,"Mot de passe","Mot de passe [MT]","Mot de passe [MT]"
be,label_initial_balance,"💰 Solde initial:","💰 Solde initial: [MT]","💰 Solde initial: [MT]"
be,cta_login,"Connectez-vous à votre espace client","Connectez-vous à votre espace client [MT]","Connectez-vous à votre espace client [MT]"
be,info_access,"Vous pouvez maintenant accéder à votre compte et profiter de nos services.","Vous pouvez maintenant accéder à votre compte et profiter de nos services. [MT]","Vous pouvez maintenant accéder à votre compte et profiter de nos services. [MT]"
be,support_contact,"contactez notre support","contactez notre support [MT]","contactez notre support [MT]"
be,footer_thanks,"Merci d\'utiliser TRANSFERFLUX !","Merci d\'utiliser TRANSFERFLUX ! [MT]","Merci d\'utiliser TRANSFERFLUX ! [MT]"
be,footer_brand,TRANSFERFLUX,"TRANSFERFLUX [MT]","TRANSFERFLUX [MT]"
be,footer_partner,"Votre partenaire financier de confiance 🏦","Votre partenaire financier de confiance 🏦 [MT]","Votre partenaire financier de confiance 🏦 [MT]"
be,virement_success_subject,"Virement effectué avec succès - TRANSFERFLUX","Virement effectué avec succès - TRANSFERFLUX [MT]","Virement effectué avec succès - TRANSFERFLUX [MT]"
be,virement_success_title,"Virement Effectué avec Succès","Virement Effectué avec Succès [MT]","Virement Effectué avec Succès [MT]"
be,virement_success_message,"Nous vous informons que votre virement a été effectué avec succès.","Nous vous informons que votre virement a été effectué avec succès. [MT]","Nous vous informons que votre virement a été effectué avec succès. [MT]"
be,virement_failed_subject,"Échec de virement - TRANSFERFLUX","Échec de virement - TRANSFERFLUX [MT]","Échec de virement - TRANSFERFLUX [MT]"
be,virement_failed_title,"Échec de Virement","Échec de Virement [MT]","Échec de Virement [MT]"
be,virement_failed_message,"Nous vous informons que votre virement a échoué.","Nous vous informons que votre virement a échoué. [MT]","Nous vous informons que votre virement a échoué. [MT]"
be,details_title,"Détails du virement","Détails du virement [MT]","Détails du virement [MT]"
be,label_amount,"💰 Montant :","💰 Montant : [MT]","💰 Montant : [MT]"
be,label_date,"📅 Date :","📅 Date : [MT]","📅 Date : [MT]"
be,label_beneficiary,"👤 Bénéficiaire :","👤 Bénéficiaire : [MT]","👤 Bénéficiaire : [MT]"
be,virement_notice,"Le traitement du transfert sera effectué dans les 1-3 jours ouvrables.","Le traitement du transfert sera effectué dans les 1-3 jours ouvrables. [MT]","Le traitement du transfert sera effectué dans les 1-3 jours ouvrables. [MT]"
be,thanks,"Merci,","Merci, [MT]","Merci, [MT]"
be,contact_support_for_info,"Pour plus d'informations, veuillez contacter notre service client.","Pour plus d'informations, veuillez contacter notre service client. [MT]","Pour plus d'informations, veuillez contacter notre service client. [MT]"
be,regards,"Cordialement,","Cordialement, [MT]","Cordialement, [MT]"
be,service_client,"Service Client","Service Client [MT]","Service Client [MT]"
be,auto_generated_notice,"Cet email a été envoyé automatiquement, merci de ne pas y répondre directement.","Cet email a été envoyé automatiquement, merci de ne pas y répondre directement. [MT]","Cet email a été envoyé automatiquement, merci de ne pas y répondre directement. [MT]"
be,compte_activated_title,"Compte Activé - TRANSFERFLUX","Compte Activé - TRANSFERFLUX [MT]","Compte Activé - TRANSFERFLUX [MT]"
be,compte_activated_heading,"Compte Activé avec Succès","Compte Activé avec Succès [MT]","Compte Activé avec Succès [MT]"
be,good_news,"✅ Bonne nouvelle :","✅ Bonne nouvelle : [MT]","✅ Bonne nouvelle : [MT]"
be,compte_activated_message,"Votre compte TRANSFERFLUX a été activé et est désormais pleinement opérationnel !","Votre compte TRANSFERFLUX a été activé et est désormais pleinement opérationnel ! [MT]","Votre compte TRANSFERFLUX a été activé et est désormais pleinement opérationnel ! [MT]"
be,compte_activated_explanation,"Vous pouvez effectuer toutes vos transactions en toute sécurité.","Vous pouvez effectuer toutes vos transactions en toute sécurité. [MT]","Vous pouvez effectuer toutes vos transactions en toute sécurité. [MT]"
be,label_holder,Titulaire,"Titulaire [MT]","Titulaire [MT]"
be,label_current_balance,"Solde actuel","Solde actuel [MT]","Solde actuel [MT]"
be,label_status,Statut,"Statut [MT]","Statut [MT]"
be,status_active,ACTIVÉ,"ACTIVÉ [MT]","ACTIVÉ [MT]"
be,you_can_now,"Vous pouvez maintenant :","Vous pouvez maintenant : [MT]","Vous pouvez maintenant : [MT]"
be,can_make_transfers,"Effectuer des virements et transferts","Effectuer des virements et transferts [MT]","Effectuer des virements et transferts [MT]"
be,check_balance,"Consulter votre solde en temps réel","Consulter votre solde en temps réel [MT]","Consulter votre solde en temps réel [MT]"
be,manage_transactions,"Gérer vos transactions en toute sécurité","Gérer vos transactions en toute sécurité [MT]","Gérer vos transactions en toute sécurité [MT]"
be,access_services,"Accéder à tous nos services bancaires","Accéder à tous nos services bancaires [MT]","Accéder à tous nos services bancaires [MT]"
be,thanks_welcome,"Merci de votre confiance et bienvenue dans la famille TRANSFERFLUX !","Merci de votre confiance et bienvenue dans la famille TRANSFERFLUX ! [MT]","Merci de votre confiance et bienvenue dans la famille TRANSFERFLUX ! [MT]"
be,unlock_code_used_title,"Code de Déblocage Utilisé - TRANSFERFLUX","Code de Déblocage Utilisé - TRANSFERFLUX [MT]","Code de Déblocage Utilisé - TRANSFERFLUX [MT]"
be,unlock_code_used_heading,"Code de Déblocage Utilisé","Code de Déblocage Utilisé [MT]","Code de Déblocage Utilisé [MT]"
be,greeting_simple,"Bonjour,","Bonjour, [MT]","Bonjour, [MT]"
be,info_notification,"ℹ️ Notification :","ℹ️ Notification : [MT]","ℹ️ Notification : [MT]"
be,unlock_code_used_alert,"Un code de déblocage vient d'être utilisé sur votre compte.","Un code de déblocage vient d'être utilisé sur votre compte. [MT]","Un code de déblocage vient d'être utilisé sur votre compte. [MT]"
be,unlock_code_used_explanation,"Nous vous informons qu'un code de déblocage a été saisi et validé pour une transaction.","Nous vous informons qu'un code de déblocage a été saisi et validé pour une transaction. [MT]","Nous vous informons qu'un code de déblocage a été saisi et validé pour une transaction. [MT]"
be,label_date_time,"Date et heure","Date et heure [MT]","Date et heure [MT]"
be,label_transfer_amount,"Montant du transfert","Montant du transfert [MT]","Montant du transfert [MT]"
be,label_recipient,Destinataire,"Destinataire [MT]","Destinataire [MT]"
be,urgent_if_not_you,"⚠️ Si vous n'êtes pas à l'origine de cette action :","⚠️ Si vous n'êtes pas à l'origine de cette action : [MT]","⚠️ Si vous n'êtes pas à l'origine de cette action : [MT]"
be,contact_support_immediately,"Contactez immédiatement notre service client","Contactez immédiatement notre service client [MT]","Contactez immédiatement notre service client [MT]"
be,check_recent_transactions,"Vérifiez toutes vos transactions récentes","Vérifiez toutes vos transactions récentes [MT]","Vérifiez toutes vos transactions récentes [MT]"
be,change_access_codes,"Changez vos codes d'accès par mesure de sécurité","Changez vos codes d'accès par mesure de sécurité [MT]","Changez vos codes d'accès par mesure de sécurité [MT]"
be,if_legitimate,"✅ Si cette action est légitime :","✅ Si cette action est légitime : [MT]","✅ Si cette action est légitime : [MT]"
be,client_can_finalize,"Votre client peut maintenant finaliser sa transaction en toute sécurité.","Votre client peut maintenant finaliser sa transaction en toute sécurité. [MT]","Votre client peut maintenant finaliser sa transaction en toute sécurité. [MT]"
be,transfer_unlock_code_title,"Code de déblocage - TRANSFERFLUX","Code de déblocage - TRANSFERFLUX [MT]","Code de déblocage - TRANSFERFLUX [MT]"
be,transfer_unlock_heading,"Code de déblocage du virement","Code de déblocage du virement [MT]","Code de déblocage du virement [MT]"
be,transfer_unlock_message_intro,"Votre code de déblocage pour le virement est indiqué ci-dessous :","Votre code de déblocage pour le virement est indiqué ci-dessous : [MT]","Votre code de déblocage pour le virement est indiqué ci-dessous : [MT]"
be,transfer_unlock_code_label,"Le code est :","Le code est : [MT]","Le code est : [MT]"
be,your_unlock_code,"Votre Code de Déblocage","Votre Code de Déblocage [MT]","Votre Code de Déblocage [MT]"
be,do_not_share_unlock_code,"Ne partagez pas votre code de déblocage !!","Ne partagez pas votre code de déblocage !! [MT]","Ne partagez pas votre code de déblocage !! [MT]"
be,unlock_code_personal_confidential,"Ce code est strictement personnel et confidentiel.","Ce code est strictement personnel et confidentiel. [MT]","Ce code est strictement personnel et confidentiel. [MT]"
be,unlock_code_needed_finalize,"Ce code est nécessaire pour finaliser votre opération de transfert.","Ce code est nécessaire pour finaliser votre opération de transfert. [MT]","Ce code est nécessaire pour finaliser votre opération de transfert. [MT]"
be,contact_support_for_questions,"Pour toute question, contactez notre service client.","Pour toute question, contactez notre service client. [MT]","Pour toute question, contactez notre service client. [MT]"
be,welcome_title,"Bienvenue - TRANSFERFLUX","Bienvenue - TRANSFERFLUX [MT]","Bienvenue - TRANSFERFLUX [MT]"
be,welcome_heading,"Bienvenue sur FLASH BILAN","Bienvenue sur FLASH BILAN [MT]","Bienvenue sur FLASH BILAN [MT]"
be,welcome_message,"Merci d'avoir créé un compte. Nous sommes ravis de vous accueillir !","Merci d'avoir créé un compte. Nous sommes ravis de vous accueillir ! [MT]","Merci d'avoir créé un compte. Nous sommes ravis de vous accueillir ! [MT]"
be,login_credentials_title,"📧 Vos identifiants de connexion :","📧 Vos identifiants de connexion : [MT]","📧 Vos identifiants de connexion : [MT]"
be,access_member_area,"Vous pouvez accéder à l'espace membre de votre compte pour visualiser nos services et profiter de toutes nos fonctionnalités.","Vous pouvez accéder à l'espace membre de votre compte pour visualiser nos services et profiter de toutes nos fonctionnalités. [MT]","Vous pouvez accéder à l'espace membre de votre compte pour visualiser nos services et profiter de toutes nos fonctionnalités. [MT]"
be,pleasure_to_assist,"Au plaisir de vous accompagner dans vos opérations financières !","Au plaisir de vous accompagner dans vos opérations financières ! [MT]","Au plaisir de vous accompagner dans vos opérations financières ! [MT]"
be,balance_decreased_title,"Diminution de solde - TRANSFERFLUX","Diminution de solde - TRANSFERFLUX [MT]","Diminution de solde - TRANSFERFLUX [MT]"
be,balance_decreased_heading,"Diminution de Solde","Diminution de Solde [MT]","Diminution de Solde [MT]"
be,balance_decreased_message,"Nous souhaitons vous informer que votre solde a été diminué.","Nous souhaitons vous informer que votre solde a été diminué. [MT]","Nous souhaitons vous informer que votre solde a été diminué. [MT]"
be,operation_details,"Détails de l'opération","Détails de l'opération [MT]","Détails de l'opération [MT]"
be,label_amount_deducted,"Montant déduit","Montant déduit [MT]","Montant déduit [MT]"
be,label_new_balance,"Nouveau solde","Nouveau solde [MT]","Nouveau solde [MT]"
be,contact_us_if_questions,"Si vous avez des questions ou avez besoin d'assistance, n'hésitez pas à nous contacter.","Si vous avez des questions ou avez besoin d'assistance, n'hésitez pas à nous contacter. [MT]","Si vous avez des questions ou avez besoin d'assistance, n'hésitez pas à nous contacter. [MT]"
be,balance_increased_title,"Augmentation de solde - TRANSFERFLUX","Augmentation de solde - TRANSFERFLUX [MT]","Augmentation de solde - TRANSFERFLUX [MT]"
be,balance_increased_heading,"Augmentation de Solde","Augmentation de Solde [MT]","Augmentation de Solde [MT]"
be,balance_increased_message,"Nous souhaitons vous informer que votre solde a été augmenté avec succès.","Nous souhaitons vous informer que votre solde a été augmenté avec succès. [MT]","Nous souhaitons vous informer que votre solde a été augmenté avec succès. [MT]"
be,label_amount_added,"Montant ajouté","Montant ajouté [MT]","Montant ajouté [MT]"
be,thank_you_trust,"Merci de votre confiance !","Merci de votre confiance ! [MT]","Merci de votre confiance ! [MT]"
be,refund_title,"Remboursement - TRANSFERFLUX","Remboursement - TRANSFERFLUX [MT]","Remboursement - TRANSFERFLUX [MT]"
be,refund_heading,"Échec de Virement","Échec de Virement [MT]","Échec de Virement [MT]"
be,refund_subject,"Échec de virement - TRANSFERFLUX","Échec de virement - TRANSFERFLUX [MT]","Échec de virement - TRANSFERFLUX [MT]"
be,refund_failed_message,"Nous regrettons de vous informer que votre tentative de virement a échoué.","Nous regrettons de vous informer que votre tentative de virement a échoué. [MT]","Nous regrettons de vous informer que votre tentative de virement a échoué. [MT]"
be,transfer_details,"Détails du virement","Détails du virement [MT]","Détails du virement [MT]"
be,label_transfer_date,"Date du Virement","Date du Virement [MT]","Date du Virement [MT]"
be,label_reason,"Motif du Virement","Motif du Virement [MT]","Motif du Virement [MT]"
be,refund_notice,"Le montant de :amount a été remboursé sur votre compte.","Le montant de :amount a été remboursé sur votre compte. [MT]","Le montant de :amount a été remboursé sur votre compte. [MT]"
be,apology,"Nous nous excusons pour la gêne occasionnée. Si vous avez des questions ou avez besoin d'assistance, n'hésitez pas à nous contacter.","Nous nous excusons pour la gêne occasionnée. Si vous avez des questions ou avez besoin d'assistance, n'hésitez pas à nous contacter. [MT]","Nous nous excusons pour la gêne occasionnée. Si vous avez des questions ou avez besoin d'assistance, n'hésitez pas à nous contacter. [MT]"
be,mail_error_alert_title,"Alerte Échec Email","Alerte Échec Email [MT]","Alerte Échec Email [MT]"
be,system_alert,"⚠️ ALERTE SYSTÈME","⚠️ ALERTE SYSTÈME [MT]","⚠️ ALERTE SYSTÈME [MT]"
be,mail_send_failure_detected,"Échec d'envoi d'email détecté","Échec d'envoi d'email détecté [MT]","Échec d'envoi d'email détecté [MT]"
be,email_sending_problem,"Problème d'envoi d'email","Problème d'envoi d'email [MT]","Problème d'envoi d'email [MT]"
be,email_send_failure_explanation,"Un email n'a pas pu être envoyé. Cela peut indiquer que la limite quotidienne a été atteinte ou qu'il y a un problème avec le serveur SMTP.","Un email n'a pas pu être envoyé. Cela peut indiquer que la limite quotidienne a été atteinte ou qu'il y a un problème avec le serveur SMTP. [MT]","Un email n'a pas pu être envoyé. Cela peut indiquer que la limite quotidienne a été atteinte ou qu'il y a un problème avec le serveur SMTP. [MT]"
be,error_details,"Détails de l'erreur","Détails de l'erreur [MT]","Détails de l'erreur [MT]"
be,label_failed_recipient,"Destinataire concerné","Destinataire concerné [MT]","Destinataire concerné [MT]"
be,label_context,Contexte,"Contexte [MT]","Contexte [MT]"
be,label_error_message,"Message d'erreur","Message d'erreur [MT]","Message d'erreur [MT]"
be,possible_causes,"Causes possibles","Causes possibles [MT]","Causes possibles [MT]"
be,cause_daily_limit,"Limite quotidienne atteinte","Limite quotidienne atteinte [MT]","Limite quotidienne atteinte [MT]"
be,cause_daily_limit_details,"La plateforme d'envoi peut limiter le nombre d'emails par jour.","La plateforme d'envoi peut limiter le nombre d'emails par jour. [MT]","La plateforme d'envoi peut limiter le nombre d'emails par jour. [MT]"
be,cause_smtp_connection,"Problème de connexion SMTP","Problème de connexion SMTP [MT]","Problème de connexion SMTP [MT]"
be,cause_smtp_connection_details,"Le serveur SMTP peut être temporairement indisponible.","Le serveur SMTP peut être temporairement indisponible. [MT]","Le serveur SMTP peut être temporairement indisponible. [MT]"
be,cause_auth_failed,"Authentification échouée","Authentification échouée [MT]","Authentification échouée [MT]"
be,cause_auth_failed_details,"Vérifiez les identifiants dans le fichier .env","Vérifiez les identifiants dans le fichier .env [MT]","Vérifiez les identifiants dans le fichier .env [MT]"
be,cause_app_password_revoked,"Mot de passe d'application expiré","Mot de passe d'application expiré [MT]","Mot de passe d'application expiré [MT]"
be,cause_app_password_revoked_details,"Le mot de passe d'application peut avoir été révoqué ou expiré.","Le mot de passe d'application peut avoir été révoqué ou expiré. [MT]","Le mot de passe d'application peut avoir été révoqué ou expiré. [MT]"
be,recommended_actions,"Actions recommandées","Actions recommandées [MT]","Actions recommandées [MT]"
be,action_if_limit,"Si limite atteinte","Si limite atteinte [MT]","Si limite atteinte [MT]"
be,action_if_limit_details,"Attendez jusqu'à demain (réinitialisation à minuit PST).","Attendez jusqu'à demain (réinitialisation à minuit PST). [MT]","Attendez jusqu'à demain (réinitialisation à minuit PST). [MT]"
be,action_check_logs,"Vérifier les logs","Vérifier les logs [MT]","Vérifier les logs [MT]"
be,action_check_logs_details,"Consultez storage/logs/laravel.log","Consultez storage/logs/laravel.log [MT]","Consultez storage/logs/laravel.log [MT]"
be,action_test_connection,"Tester la connexion","Tester la connexion [MT]","Tester la connexion [MT]"
be,action_check_config,"Vérifier la configuration","Vérifier la configuration [MT]","Vérifier la configuration [MT]"
be,action_check_config_details,"Contrôlez les paramètres SMTP dans le fichier .env","Contrôlez les paramètres SMTP dans le fichier .env [MT]","Contrôlez les paramètres SMTP dans le fichier .env [MT]"
be,action_regenerate_password,"Régénérer le mot de passe","Régénérer le mot de passe [MT]","Régénérer le mot de passe [MT]"
be,action_regenerate_password_details,"Si nécessaire, créez un nouveau mot de passe d'application.","Si nécessaire, créez un nouveau mot de passe d'application. [MT]","Si nécessaire, créez un nouveau mot de passe d'application. [MT]"
be,system_information,"Informations système","Informations système [MT]","Informations système [MT]"
be,label_smtp_server,"Serveur SMTP","Serveur SMTP [MT]","Serveur SMTP [MT]"
be,label_port,Port,"Port [MT]","Port [MT]"
be,label_account,Compte,"Compte [MT]","Compte [MT]"
be,label_environment,Environnement,"Environnement [MT]","Environnement [MT]"
be,alert_auto_generated_notice,"Cette alerte est automatique. L'application continue de fonctionner normalement, mais les emails ne sont pas envoyés.","Cette alerte est automatique. L'application continue de fonctionner normalement, mais les emails ne sont pas envoyés. [MT]","Cette alerte est automatique. L'application continue de fonctionner normalement, mais les emails ne sont pas envoyés. [MT]"
be,account_management_system,"Système de gestion des comptes","Système de gestion des comptes [MT]","Système de gestion des comptes [MT]"
be,alert_generated_by_safemail,"Cette alerte a été générée automatiquement par le système SafeMailService","Cette alerte a été générée automatiquement par le système SafeMailService [MT]","Cette alerte a été générée automatiquement par le système SafeMailService [MT]"
be,contact_technical_team,"Pour toute question, contactez votre équipe technique","Pour toute question, contactez votre équipe technique [MT]","Pour toute question, contactez votre équipe technique [MT]"
be,password_reset_title,"Réinitialisation de mot de passe - TRANSFERFLUX","Réinitialisation de mot de passe - TRANSFERFLUX [MT]","Réinitialisation de mot de passe - TRANSFERFLUX [MT]"
be,password_reset_heading,"Réinitialisation de mot de passe","Réinitialisation de mot de passe [MT]","Réinitialisation de mot de passe [MT]"
be,greeting_simple_name,"Bonjour :name,","Bonjour :name, [MT]","Bonjour :name, [MT]"
be,password_reset_reason,"Vous recevez cet e-mail car nous avons reçu une demande de réinitialisation de votre mot de passe.","Vous recevez cet e-mail car nous avons reçu une demande de réinitialisation de votre mot de passe. [MT]","Vous recevez cet e-mail car nous avons reçu une demande de réinitialisation de votre mot de passe. [MT]"
be,password_reset_click_link,"Veuillez cliquer sur le lien ci-dessous pour réinitialiser votre mot de passe :","Veuillez cliquer sur le lien ci-dessous pour réinitialiser votre mot de passe : [MT]","Veuillez cliquer sur le lien ci-dessous pour réinitialiser votre mot de passe : [MT]"
be,password_reset_no_action_needed,"Si vous n'avez pas demandé de réinitialisation de mot de passe, aucune autre action n'est requise.","Si vous n'avez pas demandé de réinitialisation de mot de passe, aucune autre action n'est requise. [MT]","Si vous n'avez pas demandé de réinitialisation de mot de passe, aucune autre action n'est requise. [MT]"
be,thank_you_using_brand,"Merci d'utiliser TRANSFERFLUX !","Merci d'utiliser TRANSFERFLUX ! [MT]","Merci d'utiliser TRANSFERFLUX ! [MT]"
be,password_reset_button,"Réinitialiser le mot de passe","Réinitialiser le mot de passe [MT]","Réinitialiser le mot de passe [MT]"
be,account_blocked_message,"Votre compte TRANSFERFLUX a été temporairement bloqué.","Votre compte TRANSFERFLUX a été temporairement bloqué. [MT]","Votre compte TRANSFERFLUX a été temporairement bloqué. [MT]"
be,account_blocked_title,"Compte Bloqué","Compte Bloqué [MT]","Compte Bloqué [MT]"
be,account_blocked_intro,"Votre compte TRANSFERFLUX a été temporairement bloqué.","Votre compte TRANSFERFLUX a été temporairement bloqué. [MT]","Votre compte TRANSFERFLUX a été temporairement bloqué. [MT]"
be,account_blocked_mail_send_failure,"Échec d'envoi d'email détecté","Échec d'envoi d'email détecté [MT]","Échec d'envoi d'email détecté [MT]"
be,account_blocked_actions_title,"Que faire maintenant ?","Que faire maintenant ? [MT]","Que faire maintenant ? [MT]"
be,account_blocked_action_contact,"Contactez notre service client pour plus d'informations","Contactez notre service client pour plus d'informations [MT]","Contactez notre service client pour plus d'informations [MT]"
be,account_blocked_action_check,"Vérifiez votre conformité avec nos conditions d'utilisation","Vérifiez votre conformité avec nos conditions d'utilisation [MT]","Vérifiez votre conformité avec nos conditions d'utilisation [MT]"
be,account_blocked_action_prepare_docs,"Préparez vos documents d'identité si nécessaire","Préparez vos documents d'identité si nécessaire [MT]","Préparez vos documents d'identité si nécessaire [MT]"
be,status_blocked,BLOQUÉ,"BLOQUÉ [MT]","BLOQUÉ [MT]"
bg,footer_brand,TRANSFERFLUX,"TRANSFERFLUX [MT]","TRANSFERFLUX [MT]"
bn,footer_brand,TRANSFERFLUX,"TRANSFERFLUX [MT]","TRANSFERFLUX [MT]"
bs,compte_created_subject,"Ouverture de compte - TRANSFERFLUX","Ouverture de compte - TRANSFERFLUX [MT]","Ouverture de compte - TRANSFERFLUX [MT]"
bs,compte_created_title,"Ouverture de compte sur TRANSFERFLUX","Ouverture de compte sur TRANSFERFLUX [MT]","Ouverture de compte sur TRANSFERFLUX [MT]"
bs,greeting,"Bonjour :name,","Bonjour :name, [MT]","Bonjour :name, [MT]"
bs,compte_created_message,"Nous avons le plaisir de vous informer que votre compte a été créé avec succès et crédité d'un montant de :amount.","Nous avons le plaisir de vous informer que votre compte a été créé avec succès et crédité d'un montant de :amount. [MT]","Nous avons le plaisir de vous informer que votre compte a été créé avec succès et crédité d'un montant de :amount. [MT]"
bs,credentials_title,"Vos identifiants sont:","Vos identifiants sont: [MT]","Vos identifiants sont: [MT]"
bs,label_email,Email,"Email [MT]","Email [MT]"
bs,label_password,"Mot de passe","Mot de passe [MT]","Mot de passe [MT]"
bs,label_initial_balance,"💰 Solde initial:","💰 Solde initial: [MT]","💰 Solde initial: [MT]"
bs,cta_login,"Connectez-vous à votre espace client","Connectez-vous à votre espace client [MT]","Connectez-vous à votre espace client [MT]"
bs,info_access,"Vous pouvez maintenant accéder à votre compte et profiter de nos services.","Vous pouvez maintenant accéder à votre compte et profiter de nos services. [MT]","Vous pouvez maintenant accéder à votre compte et profiter de nos services. [MT]"
bs,support_contact,"contactez notre support","contactez notre support [MT]","contactez notre support [MT]"
bs,footer_thanks,"Merci d\'utiliser TRANSFERFLUX !","Merci d\'utiliser TRANSFERFLUX ! [MT]","Merci d\'utiliser TRANSFERFLUX ! [MT]"
bs,footer_brand,TRANSFERFLUX,"TRANSFERFLUX [MT]","TRANSFERFLUX [MT]"
bs,footer_partner,"Votre partenaire financier de confiance 🏦","Votre partenaire financier de confiance 🏦 [MT]","Votre partenaire financier de confiance 🏦 [MT]"
